Jurisdiction,Week of Allocations,1st Dose Allocations,2nd Dose Allocations
Connecticut,04/12/2021,"37,400","37,400"
Maine,04/12/2021,"14,300","14,300"
Massachusetts,04/12/2021,"72,100","72,100"
New Hampshire,04/12/2021,"14,300","14,300"
Rhode Island,04/12/2021,"11,300","11,300"
Vermont,04/12/2021,"6,700","6,700"
New Jersey,04/12/2021,"91,300","91,300"
New York,04/12/2021,"116,300","116,300"
New York City,04/12/2021,"88,300","88,300"
Puerto Rico,04/12/2021,"35,700","35,700"
U.S. Virgin Islands,04/12/2021,"1,100","1,100"
Delaware,04/12/2021,"9,900","9,900"
District of Columbia,04/12/2021,"7,500","7,500"
Maryland,04/12/2021,"61,600","61,600"
Pennsylvania,04/12/2021,"117,500","117,500"
Philadelphia,04/12/2021,"16,300","16,300"
Virginia,04/12/2021,"86,500","86,500"
West Virginia,04/12/2021,"19,300","19,300"
Alabama,04/12/2021,"49,800","49,800"
Florida,04/12/2021,"217,400","217,400"
Georgia,04/12/2021,"103,000","103,000"
Kentucky,04/12/2021,"45,300","45,300"
Mississippi,04/12/2021,"30,000","30,000"
North Carolina,04/12/2021,"103,900","103,900"
South Carolina,04/12/2021,"51,000","51,000"
Tennessee,04/12/2021,"68,100","68,100"
Chicago,04/12/2021,"27,700","27,700"
Illinois,04/12/2021,"103,100","103,100"
Indiana,04/12/2021,"66,900","66,900"
Michigan,04/12/2021,"102,600","102,600"
Minnesota,04/12/2021,"56,200","56,200"
Ohio,04/12/2021,"119,300","119,300"
Wisconsin,04/12/2021,"59,700","59,700"
Arkansas,04/12/2021,"30,200","30,200"
Louisiana,04/12/2021,"47,000","47,000"
New Mexico,04/12/2021,"21,400","21,400"
Oklahoma,04/12/2021,"39,200","39,200"
Texas,04/12/2021,"272,100","272,100"
Iowa,04/12/2021,"31,800","31,800"
Kansas,04/12/2021,"29,000","29,000"
Missouri,04/12/2021,"62,200","62,200"
Nebraska,04/12/2021,"19,200","19,200"
Colorado,04/12/2021,"56,500","56,500"
Montana,04/12/2021,"10,800","10,800"
North Dakota,04/12/2021,"7,800","7,800"
